time,open,high,low,close,volume
1758603600000,4177.01,4194.62,4165.0,4183.34,10189.4028
1758607200000,4183.35,4215.78,4178.57,4205.56,15145.5194
1758610800000,4205.56,4211.76,4198.01,4205.24,14768.7428
1758614400000,4205.23,4214.61,4194.39,4208.87,15649.6119
1758618000000,4208.86,4229.03,4185.2,4192.55,17129.8698
1758621600000,4192.54,4196.75,4185.96,4193.06,9385.1648
1758625200000,4193.05,4195.5,4178.27,4192.08,6904.653
1758628800000,4192.09,4205.0,4184.24,4195.79,11812.2088
1758632400000,4195.79,4209.24,4181.0,4187.62,14427.3671
1758636000000,4187.63,4211.5,4164.75,4174.55,24294.9544
1758639600000,4174.55,4203.6,4161.87,4181.01,17388.7955
1758643200000,4181.01,4207.0,4164.0,4192.52,18324.3642
1758646800000,4192.51,4193.93,4137.7,4149.0,13740.1714
1758650400000,4149.01,4167.85,4146.51,4157.16,12810.5709
1758654000000,4157.16,4182.87,4142.66,4153.43,11760.4822
1758657600000,4153.43,4175.99,4139.53,4175.6,8095.7789
1758661200000,4175.59,4190.86,4164.36,4183.66,7404.4021
1758664800000,4183.66,4189.51,4169.27,4181.93,6090.8924
1758668400000,4181.93,4185.58,4161.0,4164.26,7380.858
1758672000000,4164.25,4194.37,4158.25,4174.45,9324.9362
1758675600000,4174.45,4193.5,4169.14,4189.71,5983.5133
1758679200000,4189.71,4191.95,4160.26,4169.68,22150.609
1758682800000,4169.69,4174.25,4129.24,4147.51,23272.0788
1758686400000,4147.51,4161.36,4073.74,4141.21,56177.1819
1758690000000,4141.2,4176.54,4138.88,4172.49,12272.7544
1758693600000,4172.49,4183.71,4167.44,4181.21,12561.2827
1758697200000,4181.22,4184.22,4164.35,4175.08,10697.1485
1758700800000,4175.08,4178.31,4168.12,4175.2,9288.6991
1758704400000,4175.19,4184.32,4170.04,4183.0,7707.2531
1758708000000,4183.0,4183.97,4164.66,4178.43,9308.464
1758711600000,4178.42,4198.34,4175.5,4182.08,15062.9663
1758715200000,4182.08,4187.25,4171.55,4180.18,10565.6313
1758718800000,4180.18,4185.51,4145.96,4150.29,24038.6086
1758722400000,4150.29,4206.9,4149.89,4193.59,20995.4664
1758726000000,4193.6,4198.27,4162.97,4166.18,19810.5538
1758729600000,4166.17,4176.84,4155.0,4173.57,14798.8243
1758733200000,4173.57,4194.42,4166.18,4183.86,13653.6859
1758736800000,4183.86,4184.5,4166.53,4173.09,9348.9248
1758740400000,4173.09,4174.75,4155.82,4161.5,8426.5915
1758744000000,4161.5,4169.45,4149.5,4165.69,10186.1346
1758747600000,4165.69,4172.23,4131.2,4145.54,10862.7545
1758751200000,4145.54,4164.26,4144.35,4154.62,9286.279
1758754800000,4154.62,4162.51,4144.92,4152.81,7885.2251
1758758400000,4152.81,4161.04,4122.78,4129.23,13865.7565
1758762000000,4129.22,4136.48,4082.0,4102.17,43953.9759
1758765600000,4102.18,4137.21,4063.29,4102.22,40188.0793
1758769200000,4102.22,4103.11,4022.0,4062.78,48831.2896
1758772800000,4062.77,4071.08,3966.0,4002.88,69305.0365
1758776400000,4002.87,4040.85,3978.95,4025.69,32743.4798
1758780000000,4025.69,4028.69,3993.93,3997.75,29573.9204
1758783600000,3997.76,4021.74,3985.78,4009.18,30274.8551
1758787200000,4009.17,4035.28,4003.86,4015.4,28711.0657
1758790800000,4015.41,4052.81,4012.89,4025.17,25607.9082
1758794400000,4025.17,4042.72,4010.0,4013.75,15942.9177
1758798000000,4013.75,4020.0,3991.39,4002.51,24960.4196
1758801600000,4002.51,4016.26,3924.12,3978.51,72557.2477
1758805200000,3978.51,4007.43,3945.07,3970.57,67967.8857
1758808800000,3970.58,4022.87,3969.0,4014.17,40884.2707
1758812400000,4014.15,4017.44,3980.18,4003.26,29868.9744
1758816000000,4003.27,4006.77,3927.39,3940.62,41329.413
1758819600000,3940.61,3942.98,3815.0,3838.77,103216.3043
1758823200000,3838.76,3925.27,3824.25,3924.96,55469.2528
1758826800000,3924.96,3947.77,3907.27,3911.59,29829.6047
1758830400000,3911.59,3918.97,3877.92,3886.31,23908.0357
1758834000000,3886.31,3918.33,3881.66,3904.88,15055.1111
1758837600000,3904.88,3937.2,3882.01,3893.34,14642.2732
1758841200000,3893.34,3905.48,3850.0,3874.36,31640.6175
1758844800000,3874.35,3938.46,3867.65,3931.52,41996.5233
1758848400000,3931.52,3957.44,3920.69,3948.65,20688.0341
1758852000000,3948.65,3971.09,3941.83,3958.78,20825.6454
1758855600000,3958.78,3969.14,3944.51,3965.32,16494.4224
1758859200000,3965.33,3976.98,3939.17,3945.88,12983.0137
1758862800000,3945.88,3963.34,3920.0,3921.2,16365.3648
1758866400000,3921.2,3948.54,3910.21,3921.14,19220.6581
1758870000000,3921.14,3947.88,3906.09,3938.11,64775.8476
1758873600000,3938.11,3944.58,3925.31,3933.93,14417.5547
1758877200000,3933.93,3939.67,3896.0,3915.12,15676.8551
1758880800000,3915.12,3916.27,3874.54,3888.44,21237.8063
1758884400000,3888.43,3916.46,3873.0,3906.0,13453.7088
1758888000000,3906.0,3964.88,3875.71,3937.23,52201.9173
1758891600000,3937.24,3985.41,3906.6,3971.14,40433.2809
1758895200000,3971.14,3978.49,3922.08,3930.92,31912.6425
1758898800000,3930.92,3962.23,3928.57,3946.0,14994.2967
1758902400000,3945.98,3994.96,3942.94,3990.81,27468.2034
1758906000000,3990.81,4046.48,3977.76,4044.71,41415.6209
1758909600000,4044.71,4068.3,4036.58,4044.11,32303.3173
1758913200000,4044.11,4045.7,4007.36,4024.07,19475.5178
1758916800000,4024.08,4029.89,4008.74,4009.83,13440.4963
