[INFO] 2026-03-29 20:52:42 | BUY at 3.7599
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.7503
[INFO] 2026-03-29 20:52:42 | BUY at 3.6229
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.6117
[INFO] 2026-03-29 20:52:42 | BUY at 3.62
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.6408
[INFO] 2026-03-29 20:52:42 | BUY at 3.634
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.62
[INFO] 2026-03-29 20:52:42 | BUY at 3.6
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.5939
[INFO] 2026-03-29 20:52:42 | BUY at 3.5937
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.5999
[INFO] 2026-03-29 20:52:42 | BUY at 3.6091
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.6355
[INFO] 2026-03-29 20:52:42 | BUY at 3.625
